startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
T326/2,T337,07:58:03,3,-1,-1,MY9211,61
T332/2,T325/2,07:58:13,3,-1,-1,MY9154,77
M112,M127,07:58:20,3,-1,-1,MY9282,30
T380,T379,07:58:27,3,-1,1,MY9491,7
M140/1,M137/2,07:58:38,3,-1,1,MY9487,115
M10,M16/1,07:58:41,3,-1,-1,MX7866,102
T355/2,T360,07:58:44,3,-1,1,MY9278,146
T325/2,T339/4,07:58:53,3,-1,-1,MY9154,12
T379,T359,07:59:07,3,-1,-1,MY9491,29
T337,T334,07:59:07,3,-1,-1,MY9211,25
M127,M125,07:59:42,3,-1,1,MY9282,42
M137/2,M132/1,07:59:49,3,-1,1,MY9487,24
T360,T376/1,08:00:50,3,-1,1,MY9278,103
T359,T355/1,08:00:54,3,-1,1,MY9491,74
T334,T430,08:01:04,3,-1,1,MY9211,53
M16/1,M109,08:01:31,3,-1,2,MX7866,37
T339/4,T408/1,08:01:38,3,-1,-1,MY9154,101
M132/1,M200,08:01:59,3,-1,3,MY9487,58
T376/1,T363/1,08:02:54,3,-1,-1,MY9278,116
M200,M201,08:03:31,3,-1,-1,MY9487,40
T363/1,T374,08:03:58,3,-1,1,MY9278,30
T408/1,T343,08:04:32,3,-1,-1,MY9154,152
M201,M121,08:04:42,3,-1,-1,MY9487,37
T374,T406,08:04:59,3,-1,1,MY9278,30
T355/1,C688/1,08:05:06,3,-1,3,MY9491,225
T430,M177,08:06:00,3,-1,-1,MY9211,282
M121,M119,08:06:07,3,-1,1,MY9487,27
C688/1,C691,08:06:41,3,-1,1,MY9491,40
M139/2,M184,08:06:48,3,-1,1,MY9282,139
M109,M112,08:07:04,3,-1,1,MX7866,263
M184,M188,08:07:08,3,-1,1,MY9282,13
T343,T316,08:07:29,3,-1,1,MY9154,132
M188,M203/2,08:08:10,3,-1,1,MY9282,47
M112,M127,08:08:20,3,-1,2,MX7866,37
C691,C652,08:08:45,3,-1,1,MY9491,96
M177,M198,08:08:55,3,-1,1,MY9211,147
M22,M10,08:09:02,3,-1,2,MY9362,96
M119,M113,08:09:02,3,-1,-1,MY9487,154
M203/2,M277,08:09:12,3,-1,-1,MY9282,58
T316,T345/5,08:09:29,3,-1,-1,MY9154,109
C652,C655,08:09:49,3,-1,1,MY9491,30
T406,T345/1,08:10:06,3,-1,-1,MY9278,293
M198,M183/2,08:10:34,3,-1,1,MY9211,85
M113,M94,08:10:42,3,-1,-1,MY9487,42
C655,C657,08:11:05,3,-1,-1,MY9491,35
T345/5,T344,08:11:09,3,-1,1,MY9154,59
M277,M182/1,08:11:23,3,-1,-1,MY9282,124
C657,C686,08:11:44,3,-1,-1,MY9491,27
T344,T356/1,08:12:14,3,-1,1,MY9154,27
M127,M125,08:12:21,3,-1,2,MX7866,165
M10,M16/1,08:12:38,3,-1,-1,MY9362,128
M127,M125,08:12:38,3,-1,2,MX7866,3
M10,M16/1,08:12:45,3,-1,3,MY9362,3
M127,M125,08:12:45,3,-1,2,MX7866,3
T345/1,T322,08:12:49,3,-1,-1,MY9278,131
C686,C656,08:13:21,3,-1,1,MY9491,35
M183/2,M140/1,08:13:35,3,-1,1,MY9211,49
T356/1,T358,08:14:21,3,-1,1,MY9154,77
C656,C654/3,08:14:25,3,-1,1,MY9491,54
M140/1,M137/2,08:14:33,3,-1,2,MY9211,43
T358,T373/2,08:15:25,3,-1,1,MY9154,28
T322,T342,08:15:25,3,-1,-1,MY9278,127
M182/1,T431,08:15:29,3,-1,1,MY9282,214
M125,M136/2,08:15:36,3,-1,2,MX7866,59
M137/2,M132/1,08:15:46,3,-1,1,MY9211,34
M16/1,M109,08:16:00,3,-1,1,MY9362,31
C654/3,C653/2,08:16:13,3,-1,1,MY9491,61
T373/2,T375,08:16:27,3,-1,1,MY9154,30
M136/2,M139/2,08:16:54,3,-1,1,MX7866,27
M132/1,M200,08:16:58,3,-1,3,MY9211,17
T431,T335/2,08:17:16,3,-1,1,MY9282,82
T375,T380,08:17:36,3,-1,2,MY9154,58
T342,T409,08:17:53,3,-1,-1,MY9278,86
T335/2,T338,08:18:00,3,-1,-1,MY9282,13
M200,M201,08:18:03,3,-1,-1,MY9211,20
T380,T379,08:18:17,3,-1,2,MY9154,13
C653/2,C692,08:18:47,3,-1,1,MY9491,98
M109,M112,08:18:54,3,-1,2,MY9362,133
T379,T359,08:18:58,3,-1,1,MY9154,20
